category_code,status,founded_at,closed_at,country_code,funding_rounds,funding_total_usd,milestones,relationships,lat,lng,isClosed,Active_Days
advertising,operating,2007,2021.0,MAR,1.0,3652913.0,1.0,2.0,30.4277547,-9.5981072,1,5110.0
advertising,operating,2008,2021.0,USA,1.0,3652913.0,1.0,2.0,35.6869752,-105.937799,1,4745.0
games_video,operating,2008,2021.0,USA,1.0,3652913.0,1.0,3.0,33.0786552,-116.6019637,1,4745.0
cleantech,operating,2003,2021.0,USA,3.0,10125293.0,1.0,6.0,30.267153,-97.7430608,1,6570.0
software,operating,2011,2021.0,AUS,1.0,3652913.0,1.0,2.0,49.0504377,-122.3044697,1,3650.0
mobile,operating,2003,2021.0,AUS,1.0,250000.0,1.0,2.0,-27.4697707,153.0251235,1,6570.0
network_hosting,operating,2008,2021.0,IND,1.0,3652913.0,1.0,2.0,28.6139391,77.2090212,1,4745.0
consulting,operating,2009,2021.0,USA,1.0,3652913.0,1.0,2.0,37.7749295,-122.4194155,1,4380.0
finance,operating,2012,2021.0,USA,1.0,3652913.0,4.0,3.0,36.0318578,-84.027655,1,3285.0
advertising,operating,2004,2021.0,AUS,1.0,3652913.0,1.0,1.0,-35.2962556,139.038277,1,6205.0
medical,operating,2006,2021.0,USA,2.0,11300000.0,1.0,2.0,42.0189894,-71.0078215,1,5475.0
manufacturing,operating,2004,2021.0,USA,2.0,3652913.0,1.0,4.0,29.7604267,-95.3698028,1,6205.0
games_video,operating,2006,2021.0,FRA,2.0,414840.0,1.0,2.0,48.856614,2.3522219,1,5475.0
games_video,operating,2008,2021.0,JPN,1.0,3652913.0,1.0,1.0,35.6092261,139.7301861,1,4745.0
enterprise,operating,2004,2021.0,USA,1.0,1500000.0,1.0,8.0,47.6101497,-122.2015159,1,6205.0
web,operating,2006,2021.0,USA,1.0,2500000.0,2.0,7.0,37.7749295,-122.4194155,1,5475.0
other,operating,2007,2021.0,IND,1.0,3652913.0,1.0,2.0,12.9715987,77.5945627,1,5110.0
advertising,operating,2006,2021.0,EGY,1.0,3652913.0,1.0,1.0,30.0444196,31.2357116,1,5475.0
ecommerce,operating,2008,2021.0,ISR,1.0,3652913.0,1.0,2.0,32.0852999,34.7817676,1,4745.0
other,operating,1983,2021.0,USA,1.0,3652913.0,1.0,1.0,43.0717552,-70.7625532,1,13870.0
public_relations,operating,2007,2021.0,USA,1.0,3652913.0,1.0,3.0,42.4894801,-83.1446485,1,5110.0
software,operating,2001,2021.0,USA,1.0,3652913.0,1.0,3.0,42.6334247,-71.3161718,1,7300.0
mobile,operating,2002,2021.0,USA,1.0,3652913.0,2.0,1.0,40.5753817,-74.3223703,1,6935.0
games_video,operating,2008,2021.0,GBR,1.0,3652913.0,1.0,3.0,51.5073509,-0.1277583,1,4745.0
software,operating,2004,2021.0,THA,1.0,3652913.0,1.0,1.0,13.7563309,100.5017651,1,6205.0
network_hosting,operating,1998,2021.0,GBR,1.0,3652913.0,1.0,4.0,51.5073509,-0.1277583,1,8395.0
games_video,operating,2011,2021.0,USA,1.0,40000.0,1.0,5.0,37.7749295,-122.4194155,1,3650.0
ecommerce,operating,2008,2021.0,USA,1.0,3652913.0,3.0,5.0,37.8590937,-122.4852507,1,4745.0
ecommerce,operating,2011,2021.0,AUT,1.0,3652913.0,1.0,2.0,48.2081743,16.3738189,1,3650.0
software,operating,2011,2021.0,GBR,1.0,3652913.0,1.0,2.0,32.5631924,-97.1416768,1,3650.0
other,operating,2008,2021.0,IRL,1.0,3652913.0,1.0,5.0,51.8968917,-8.4863157,1,4745.0
enterprise,operating,1998,2021.0,NLD,1.0,3652913.0,1.0,2.0,52.4739306,6.0681758,1,8395.0
web,operating,2007,2021.0,USA,1.0,350000.0,1.0,2.0,37.4529598,-122.1817252,1,5110.0
advertising,operating,2007,2021.0,USA,1.0,3652913.0,2.0,5.0,37.7749295,-122.4194155,1,5110.0
consulting,operating,2006,2021.0,GBR,1.0,3652913.0,1.0,1.0,53.8007554,-1.5490774,1,5475.0
web,operating,2008,2021.0,USA,1.0,3652913.0,1.0,1.0,37.8043637,-122.2711137,1,4745.0
software,operating,1978,2021.0,USA,1.0,3652913.0,1.0,4.0,34.0380784,-84.5815717,1,15695.0
consulting,operating,2004,2021.0,GBR,1.0,3652913.0,1.0,1.0,51.41233,-0.300689,1,6205.0
analytics,operating,2008,2021.0,USA,1.0,3100000.0,3.0,5.0,37.36883,-122.0363496,1,4745.0
ecommerce,operating,2010,2021.0,NLD,1.0,3652913.0,1.0,2.0,52.3702157,4.8951679,1,4015.0
mobile,operating,2007,2021.0,USA,1.0,3652913.0,1.0,2.0,37.7749295,-122.4194155,1,5110.0
software,operating,2011,2021.0,USA,1.0,3652913.0,1.0,3.0,41.223,-111.9738304,1,3650.0
software,operating,1999,2021.0,USA,1.0,3652913.0,1.0,3.0,31.8087678,-85.969951,1,8030.0
public_relations,operating,1978,2021.0,USA,1.0,3652913.0,1.0,5.0,37.4418834,-122.1430195,1,15695.0
web,closed,2007,2012.0,USA,1.0,100000.0,1.0,1.0,37.3860517,-122.0838511,0,1825.0
software,operating,2008,2021.0,USA,1.0,3652913.0,1.0,3.0,33.1580933,-117.3505939,1,4745.0
news,operating,2004,2021.0,SWE,3.0,3933515.0,1.0,2.0,59.3293235,18.0685808,1,6205.0
other,operating,2001,2021.0,USA,1.0,3652913.0,1.0,4.0,26.7153424,-80.0533746,1,7300.0
software,operating,2007,2021.0,USA,1.0,280000.0,2.0,2.0,35.9606384,-83.9207392,1,5110.0
games_video,closed,2006,2010.0,DEU,1.0,5000000.0,5.0,3.0,51.8266853,6.58762,0,1460.0
software,closed,2008,2010.0,USA,1.0,3652913.0,1.0,2.0,32.715738,-117.1610838,0,730.0
games_video,operating,2008,2021.0,USA,1.0,3652913.0,1.0,3.0,37.7749295,-122.4194155,1,4745.0
government,operating,2010,2021.0,USA,2.0,182500.0,1.0,3.0,40.2968979,-111.6946475,1,4015.0
web,operating,2007,2021.0,USA,1.0,3652913.0,3.0,8.0,37.7749295,-122.4194155,1,5110.0
ecommerce,operating,2008,2021.0,USA,2.0,4815940.0,1.0,4.0,30.267153,-97.7430608,1,4745.0
ecommerce,operating,2001,2021.0,USA,1.0,3652913.0,1.0,1.0,45.487062,-122.8037102,1,7300.0
mobile,operating,2008,2021.0,JPN,2.0,16000000.0,3.0,8.0,35.6894875,139.6917064,1,4745.0
other,operating,2008,2021.0,USA,1.0,3652913.0,1.0,3.0,41.8781136,-87.6297982,1,4745.0
advertising,operating,2010,2021.0,USA,1.0,3652913.0,1.0,5.0,26.1275862,-80.2331036,1,4015.0
web,closed,2006,2013.0,FIN,1.0,1613875.0,1.0,3.0,60.1698557,24.9383791,0,2555.0
web,operating,2007,2021.0,USA,1.0,3652913.0,1.0,2.0,26.3683064,-80.1289321,1,5110.0
